PostNumber,CrossSection,CrossSectionNum,Diameter,Comments
P1,H,62,19.83,
P2,H,62,18.19,
P3,H,62,19.08,
P4,H,62,11.9,
P5,H,62,16.07,
P6,H,62,11.28,
P7,H,62,16.5,
P8,H,62,10.8,
P9,H,62,18.12,
P10,H,62,9.89,
P11,H,62,12.12,
P12,H,62,10.92,
P13,H,62,18.94,
P14,H,62,12.41,
P15,H,62,17.57,
P16,H,62,12.49,
P17,H,62,18.04,
P18,H,62,11.46,
P19,H,62,18.44,
P20,H,62,17.16,
P21,H,62,11.24,
P1,H,63,19.1,
P2,H,63,18.83,
P3,H,63,18.51,
P4,H,63,11.95,
P5,H,63,16.2,
P6,H,63,11.74,
P7,H,63,16.6,
P8,H,63,10.62,
P9,H,63,18.14,
P10,H,63,10.08,
P11,H,63,11.94,
P12,H,63,10.8,
P13,H,63,18.8,
P14,H,63,12.08,
P15,H,63,17.97,
P16,H,63,13.25,
P17,H,63,18.06,
P18,H,63,11.85,
P19,H,63,18.21,
P20,H,63,17.41,
P21,H,63,11.36,
P1,H,69,17.79,
P2,H,69,18.57,
P3,H,69,19.43,
P4,H,69,12.53,
P5,H,69,16,
P6,H,69,11.61,
P7,H,69,16.55,
P8,H,69,10.88,
P9,H,69,21.87,
P10,H,69,11.84,
P11,H,69,12.51,
P12,H,69,10.77,
P13,H,69,18.64,
P14,H,69,11.64,
P15,H,69,17.71,
P16,H,69,13.09,
P17,H,69,22.42,
P18,H,69,10.25,
P19,H,69,18.55,
P20,H,69,18.16,
P21,H,69,11.6,
P1,H,74,17.58,
P2,H,74,19.19,
P3,H,74,20,
P4,H,74,12.91,
P5,H,74,16.37,
P6,H,74,11.94,
P7,H,74,16.81,
P8,H,74,11.14,
P9,H,74,20.22,
P10,H,74,10.92,
P11,H,74,12.37,
P12,H,74,12.27,
P13,H,74,20.8,
P14,H,74,11.64,
P15,H,74,18.53,
P16,H,74,13.06,
P17,H,74,19.85,
P18,H,74,10.47,
P19,H,74,19.79,
P20,H,74,18.54,
P21,H,74,12.52,
P1,H,75,17.86,
P2,H,75,19.15,
P3,H,75,19.96,
P4,H,75,12.6,
P5,H,75,16.1,
P6,H,75,11.66,
P7,H,75,16.67,
P8,H,75,11.15,
P9,H,75,18.72,
P10,H,75,10.62,
P11,H,75,12.27,
P12,H,75,11.55,
P13,H,75,20.08,
P14,H,75,11.62,
P15,H,75,18.12,
P16,H,75,12.93,
P17,H,75,19.94,
P18,H,75,11.19,
P19,H,75,20.02,
P20,H,75,18.84,
P21,H,75,11.64,
P22,H,27,16.77,
P22,H,30,15.93,
P22,H,34,16.54,
P22,H,38,16.71,
P22,H,41,17.79,
WP1-1,V2,159,17.8,
WP1-1,V2,141,18.42,
WP1-1,V2,121,19.13,
WP1-2,V2,98,21.68,
WP1-2,V2,84,19.86,
WP1-2,V2,60,17.74,
WP1-2,V2,42,17.05,
WP2-1,V2,42,20.8,
WP2-1,V2,60,21.2,
WP2-1,V2,84,22.15,
WP2-1,V2,98,24.39,
WP2-2,V2,121,20.26,
WP2-2,V2,141,20.02,
WP2-2,V2,159,21.4,
R1,V1,64,15.96,
R1,V1,58,15.19,
R1,V1,50,15.81,
R2,V1,64,18.21,
R2,V1,58,19.17,
R2,V1,51,16.92,
R3,V1,64,19.87,
R3,V1,53,18.8,
R3,V1,49,19.4,
R4,V1,58,13.89,poor coverage
R4,Mesh,,16.09,
R4,Mesh,,16.42,
R5,Mesh,,16.25,
R5,Mesh,,15.94,
R5,Mesh,,15.76,
R6,Mesh,,16.37,
R6,Mesh,,16.78,
R6,Mesh,,17.29,
R7,V1,39,14.4,
R7,V1,33,15.7,
R7,V1,46,14.75,
R8,V1,45,19.02,
R8,V1,39,19.69,
R8,V1,33,19.78,
R9,V1,31,16.46,
R9,V1,38,17.3,
R9,V1,46,20.37,
R10,V1,31,15.53,
R10,V1,38,16.67,
R10,V1,43,14.84,
T1,V1,37,17.49,
T1,V1,44,17.11,
T1,V1,61,16.34,
T2,V1,66,20.62,
T2,V1,54,19.82,
T2,V1,31,18.21,
T3,V1,62,20.04,
T3,V1,45,20.19,
T3,V1,31,21.04,
T4,V1,33,19.74,
T4,V1,48,19.29,
T4,V1,66,18.6,
T5,V1,64,19.93,
T5,V1,53,19.05,
T5,V1,42,18.98,
PR1-1,V2,176,15.47,
PR1-1,V2,158,13.04,
PR1-1,V2,141,13.66,
PR1-1,V2,129,13.89,
PR1-1,V2,121,13.84,
PR1-2,V2,84,12.16,
PR1-2,V2,60,12.12,
PR1-2,V2,44,12.59,
PR1-2,V2,33,12.6,
PR1-2,V2,11,13.23,
PR2-1,V2,176,13.3,
PR2-1,V2,158,12.73,
PR2-1,V2,141,12.62,
PR2-1,V2,129,12.01,
PR2-1,V2,121,12.15,
PR2-2,V2,84,12.03,
PR2-2,V2,60,11.75,
PR2-2,V2,44,12.29,
PR2-2,V2,33,10.95,
PR2-2,V2,11,10.71,
PR3-1,V2,176,15.37,
PR3-1,V2,158,13.93,
PR3-1,V2,141,13.19,
PR3-1,V2,129,13.18,
PR3-1,V2,121,13.32,
PR3-2,V2,84,11.06,
PR3-2,V2,60,11.08,
PR3-2,V2,44,10.87,
PR3-2,V2,33,11.44,
PR3-2,V2,11,10.06,
PR4-1,V2,176,17.25,
PR4-1,V2,158,15.1,
PR4-1,V2,141,13.67,
PR4-1,V2,129,15.67,
PR4-1,V2,121,14.11,
PR4-2,V2,84,13.39,
PR4-2,V2,60,10.9,
PR4-2,V2,44,10.79,
PR4-2,V2,33,10.89,
PR4-2,V2,11,9.15,
PR5-1,V2,176,12.49,
PR5-1,V2,158,10.64,
PR5-1,V2,141,10.23,
PR5-1,V2,129,10.92,
PR5-1,V2,121,9.81,
PR5-2,V2,84,10.16,
PR5-2,V2,60,11.52,
PR5-2,V2,44,11.12,
PR5-2,V2,33,11.17,
PR5-2,V2,11,12.28,
PR6-1,V2,179,9.39,
PR6-1,V2,158,10.76,
PR6-1,V2,141,11.56,
PR6-1,V2,129,11.53,
PR6-1,V2,121,13.26,
PR6-2,V2,84,10.78,
PR6-2,V2,60,12.04,
PR6-2,V2,44,12.5,
PR6-2,V2,33,14.04,
PR6-2,V2,11,14,
PR7-1,V2,178,12.9,
PR7-1,V2,158,10.34,
PR7-1,V2,141,10.93,
PR7-1,V2,129,10.28,
PR7-1,V2,121,10.23,
PR7-2,V2,84,11.39,
PR7-2,V2,60,10.15,
PR7-2,V2,44,10.4,
PR7-2,V2,33,9.53,
PR7-2,V2,11,10.86,
PR8-1,V2,178,13.92,
PR8-1,V2,18,13.2,
PR8-1,V2,141,12.62,
PR8-1,V2,129,12.14,
PR8-1,V2,121,12.21,
PR8-2,V2,84,12.6,
PR8-2,V2,60,13.37,
PR8-2,V2,44,13.88,
PR8-2,V2,33,13.7,
PR8-2,V2,11,15.09,
RB1-1,V2,179,15.52,
RB1-1,V2,158,15.55,
RB1-1,V2,141,14.79,
RB1-1,V2,129,13.55,
RB1-1,V2,121,13.68,
RB1-2,V2,84,12.32,
RB1-2,V2,60,13.46,
RB1-2,V2,44,12.55,
RB1-2,V2,33,14.37,
RB1-2,V2,10,15.54,
CPR1,V2,60,3.64,WP1
CPR2,V2,60,3.64,PR1
CPR3,V2,60,3.64,PR2
CPR4,V2,60,3.64,PR3
CPR5,V2,60,3.64,PR4
CPR6,V2,60,3.64,RB1
CPR7,V2,60,3.64,PR5
CPR8,V2,60,3.64,PR6
CPR9,V2,60,3.64,PR7
CPR10,V2,60,3.64,PR8
CPR11,V2,60,3.64,WP2
CR1,V1,73,4.93,
CR1,V1,61,4.72,
CR1,V1,51,4.4,
CR2,V1,69,5.05,
CR2,V1,61,4.45,
CR2,V1,51,3.3,
CR3,V1,73,5.99,
CR3,V1,61,4.75,
CR3,V1,53,4.25,
CR4,V1,73,5.21,
CR4,V1,61,5.04,
CR4,V1,53,3.95,
CR5,V1,72,5.38,
CR5,V1,61,4.4,
CR5,V1,54,4.1,
CR6,V1,54,4.14,
CR6,V1,66,4.77,
CR6,V1,73,5.07,
CR7,V1,73,4.74,
CR7,V1,66,5,
CR7,V1,54,4.16,
CR8,V1,54,3.44,
CR8,V1,66,4.11,
CR8,V1,73,4.62,
CR9,V1,73,4.49,
CR9,V1,66,4.18,
CR9,V1,54,3.71,
CR10,V1,54,3.73,
CR10,V1,66,3.81,
CR10,V1,68,3.96,
CR11,V1,73,3.9,
CR11,V1,64,3.9,
CR11,V1,53,3.09,
CR12,V1,58,4.81,
CR12,V1,66,4.96,
CR12,V1,73,5.56,
CR13,V1,73,3.89,
CR13,V1,66,3.53,
CR13,V1,58,3.26,
CR14,V1,58,4.55,
CR14,V1,64,4.46,
CR14,V1,71,4.53,
CR15,V1,72,4.69,
CR15,V1,64,3.87,
CR15,V1,58,4.08,
CR16,V1,58,2.93,
CR16,V1,64,3.36,
CR16,V1,71,3.3,
CR17,V1,71,5.38,
CR17,V1,64,4.84,
CR17,V1,58,4.05,
CR18,V1,71,4.34,
CR18,V1,66,3.31,
CR18,V1,58,3.25,
CR19,V1,58,4,
CR19,V1,64,3.58,
CR19,V1,71,4.23,
CR20,V1,71,4.49,
CR20,V1,63,4.56,
CR20,V1,58,4.35,
CR21,V1,61,6.37,
CR21,V1,66,4.51,
CR21,V1,72,4.66,
CR22,V1,71,4.67,
CR22,V1,64,4.15,
CR22,V1,58,4.72,
CR23,V1,45,3.46,
CR23,V1,33,3.99,
CR23,V1,20,6.55,
CR24,V1,20,4.83,
CR24,V1,31,5.6,
CR24,V1,44,3.81,
CR25,V1,28,5.73,
CR25,V1,33,5.94,
CR25,V1,39,4.52,
CR26,V1,26,4.56,
CR26,V1,38,3.9,
CR26,V1,43,4.74,
CR27,V1,44,3.34,
CR27,V1,38,3.87,
CR27,V1,27,4.44,
CR28,V1,25,3.36,
CR28,V1,33,3.5,
CR28,V1,38,3.81,
CR29,V1,38,3.85,
CR29,V1,31,3.99,
CR29,V1,26,4.31,
CR30,V1,24,4.92,
CR30,V1,33,4.42,
CR30,V1,38,4.02,
CR31,V1,38,4.39,
CR31,V1,33,3.65,
CR31,V1,24,4.71,
CR32,V1,25,5.05,
CR32,V1,31,4.31,
CR32,V1,37,3.83,
CR33,V1,37,4.35,
CR33,V1,31,4.42,
CR33,V1,26,4.64,
CR34,V1,25,3.93,
CR34,V1,31,3.58,
CR34,V1,37,3.14,
CR35,V1,37,3.71,
CR35,V1,33,4.25,
CR35,V1,26,4.58,
CR36,V1,24,4.39,
CR36,V1,31,3.87,
CR36,V1,39,3.94,
CR37,V1,37,4.79,
CR37,V1,31,4.61,
CR37,V1,24,4.82,
CR38,V1,24,5.05,
CR38,V1,31,4.8,
CR38,V1,37,4.53,
CR39,V1,37,4.42,
CR39,V1,31,4.63,
CR39,V1,24,4.83,
CR40,V1,28,4.36,
CR40,V1,37,4.28,
CR40,V1,42,4.02,
CR41,V1,27,4.39,
CR41,V1,33,4.25,
CR41,V1,37,4.47,
CR42,V1,26,5.84,
CR42,V1,33,5.97,
CR42,V1,37,5.95,
CR43,V1,24,5.16,
CR43,V1,31,4.3,
CR43,V1,20,5.18,
CR44,V1,20,6.06,
CR44,V1,27,5.57,
CR44,V1,33,6.21,
WPR1-1,V2,158,6.51,
WPR1-1,V2,141,5.84,
WPR1-1,V2,121,5.2,
WPR1-2,V2,60,3.47,
WPR1-2,V2,42,5.37,
WPR1-2,V2,33,5.46,
WPR2-1,V2,158,5.69,
WPR2-1,V2,141,4.62,
WPR2-1,V2,121,4.19,
WPR2-2,V2,60,3.88,
WPR2-2,V2,42,5.17,
WPR2-2,V2,33,5.61,
WPR3-1,V2,158,5.92,
WPR3-1,V2,141,5.49,
WPR3-1,V2,121,4.98,
WPR3-2,V2,60,5.21,
WPR3-2,V2,42,6.65,
WPR3-2,V2,33,6.12,
WPR4-1,V2,158,7.77,
WPR4-1,V2,141,6.57,
WPR4-1,V2,121,5.68,
WPR4-2,V2,60,5.34,
WPR4-2,V2,42,6.58,
WPR4-2,V2,33,6.27,
WPR5-1,V2,158,6.33,
WPR5-1,V2,141,6.14,
WPR5-1,V2,121,4.85,
WPR5-2,V2,60,4.97,
WPR5-2,V2,42,5.78,
WPR5-2,V2,33,5.7,
WPR6-1,V2,158,6.17,
WPR6-1,V2,141,5.45,
WPR6-1,V2,121,4.46,
WPR6-2,V2,60,4.97,
WPR6-2,V2,42,5.23,
WPR6-2,V2,33,5.36,
WPR7,V1,64,7.35,
WPR7,V1,44,5.67,
WPR7,V1,31,6.09,
WPR8,V1,64,5.36,
WPR8,V1,44,6.15,
WPR8,V1,31,5.69,
WPR9,V1,64,7.19,
WPR9,V1,44,5.54,
WPR9,V1,31,5.44,
WPR10,V1,64,4.86,
WPR10,V1,44,5.51,
WPR10,V1,31,5.53,
WPR11,V1,64,6.61,
WPR11,V1,44,6.26,
WPR11,V1,31,4.16,
WPR12,V1,64,4.63,
WPR12,V1,44,6.18,
WPR12,V1,31,6.09,
WPR13-1,V2,33,5.27,
WPR13-1,V2,42,5.09,
WPR13-1,V2,60,4.87,
WPR13-2,V2,111,4.66,
WPR13-2,V2,142,5.81,
WPR13-2,V2,158,5.65,
WPR14-1,V2,33,4.94,
WPR14-1,V2,42,4.5,
WPR14-1,V2,60,4.84,
WPR14-2,V2,111,4.53,
WPR14-2,V2,142,5.71,
WPR14-2,V2,158,6.34,
WPR15-1,V2,33,5.64,
WPR15-1,V2,42,4.68,
WPR15-1,V2,60,5.02,
WPR15-2,V2,111,4.9,
WPR15-2,V2,142,6.34,
WPR15-2,V2,158,6.86,
WPR16-1,V2,33,5,
WPR16-1,V2,42,4.85,
WPR16-1,V2,60,4.81,
WPR16-2,V2,111,5.14,
WPR16-2,V2,142,5,
WPR16-2,V2,158,5.67,
WPR17-1,V2,33,6.44,
WPR17-1,V2,42,6.55,
WPR17-1,V2,60,5.73,
WPR17-2,V2,111,3.5,
WPR17-2,V2,142,4.42,
WPR17-2,V2,158,5.03,
WPR18-1,V2,33,6.65,
WPR18-1,V2,42,6.41,
WPR18-1,V2,60,5.7,
WPR18-2,V2,111,5.42,
WPR18-2,V2,142,6.28,
WPR18-2,V2,158,7.07,
WPR19-1,V1,24,6.27,
WPR19-1,V1,31,6.68,
WPR19-1,V1,40,5.93,
WPR19-2,V1,72,4.28,
WPR19-2,V1,73,4.1,
WPR20-1,V1,24,7.29,
WPR20-1,V1,31,6.78,
WPR20-1,V1,40,7.74,
WPR20-2,V1,72,4.71,
WPR20-2,V1,73,4.48,
WPR21-1,V1,24,7.02,
WPR21-1,V1,31,6.18,
WPR21-1,V1,40,5.35,
WPR21-2,V1,71,5.9,
WPR21-2,V1,73,5.18,
WPR22-1,V1,24,5,
WPR22-1,V1,31,5.51,
WPR22-1,V1,40,5.68,
WPR22-2,V1,72,5.07,
WPR22-2,V1,73,5.52,
WPR23-1,V1,24,7.72,
WPR23-1,V1,31,7.39,
WPR23-1,V1,40,7.1,
WPR23-2,V1,72,5.46,
WPR23-2,V1,73,4.45,
WPR24-1,V1,24,7.48,
WPR24-1,V1,31,6.17,
WPR24-1,V1,40,5.36,
WPR24-2,V1,72,4.71,
WPR24-2,V1,75,5.16,
PS1,H,,4.64,
PS2,H,,4.15,
PS3,H,,2.85,
PS4,H,,4.61,
PS5,H,,3.65,
PS6,H,,3.87,
PS7,H,,2.72,
PS8,H,,3.85,
PS9,H,,2.94,
PS10,H,,3.43,
PS11,H,,3.07,
PS12,H,,2.96,
PS13,H,,2.83,
PS14,H,,3.45,
PS15,H,,3.23,
PS16,H,,3.87,
PS17,H,,3.43,
PS18,H,,3.05,
PS19,H,,4.43,
PS20,H,,4.22,
GC,V2,169,8.85,
GC,V2,106,10.75,
GC,V2,21,13.37,
GCS1,V2,169,8.96,
GCS1,V2,158,8.14,
GCS1,V2,141,6.71,
GCS2,V2,121,6,
GCS2,V2,106,5,
GCS2,V2,84,6.42,
GCS3,V2,44,4.45,
GCS3,V2,33,5.07,
GCS3,V2,21,5.68,
GCS4,V2,169,8.01,
GCS4,V2,158,8,
GCS4,V2,141,6.68,
GCS5,V2,121,6.81,
GCS5,V2,106,6.29,
GCS5,V2,84,8.74,
GCS6,V2,44,5.71,
GCS6,V2,33,5.89,
GCS6,V2,21,6.57,
GCB2,Mesh,,76.1,
GCB3,Mesh,,85.69,
