PostNumber,CrossSection,CrossSectionNum,Length,Comments
P22,V1,49,300.74,
P10,V2,21,221.8,
P11,V2,21,220.66,
P12,V2,21,219.59,
P13,V2,21,218.85,
P8,V2,46,209.68,
P14,V2,46,212.97,
P7,V2,72,209.02,
P15,V2,72,211.86,
P6,V2,89,208.89,
P16,V2,89,209.29,
P5,V2,106,210.14,
P18,V2,106,206.68,
P4,V2,129,217.69,
P18,V2,129,210.19,
P3,V2,151,220.31,
P19,V2,151,219.63,
P2,V2,169,211.59,
P1,V2,176,314.38,
P1,Mesh,Mesh,313.77,
P2,Mesh,Mesh,210.91,
P3,Mesh,Mesh,214.25,
P4,Mesh,Mesh,216.74,
P5,Mesh,Mesh,212.58,
P6,Mesh,Mesh,208.75,
P7,Mesh,Mesh,208.21,
P8,Mesh,Mesh,210.25,
P9,Mesh,Mesh,210.74,
P10,Mesh,Mesh,222.45,
P11,Mesh,Mesh,224.96,
P12,Mesh,Mesh,225.47,
P13,Mesh,Mesh,209.5,problem
P14,Mesh,Mesh,213.03,
P15,Mesh,Mesh,211.69,
P16,Mesh,Mesh,210.45,
P17,Mesh,Mesh,209.41,
P18,Mesh,Mesh,211.12,
P19,Mesh,Mesh,216.91,
P20,Mesh,Mesh,207.86,
P21,Mesh,Mesh,227.28,problem
P22,Mesh,Mesh,301.18,
WP1,V1J,,851.94,
WP2,V1J,,845.94,
WP1-1,V1J,,408.52,
WP1-2,V1J,,473.08,
WP2-1,V1J,,469.75,
WP2-2,V1J,,399.29,
R1,V1J,,191.24,
R2,V1J,,192.06,
R3,V1J,,187.99,
R4,V1J,,190.04,
R5,V1J,,170.46,
R6,V1J,,173.87,
R7,V1J,,178,
R8,V1J,,199.92,
R9,V1J,,187.57,
R10,V1J,,190,
T1,V1J,,300.33,
T2,V1J,,295.01,
T3,V1J,,285.13,
T4,V1J,,270.46,
T5,V1J,,255,
PR1-1,V1J,,444.29,
PR1-2,V1J,,448.59,
PR2-1,V1J,,442.75,
PR2-2,V1J,,446.38,
PR3-1,V1J,,445.97,
PR3-2,V1J,,443.81,
PR4-1,V1J,,457.05,
PR4-2,V1J,,444.94,
PR5-1,V1J,,445.23,
PR5-2,V1J,,444.32,
PR6-1,V1J,,442.37,
PR6-2,V1J,,441.72,
PR7-1,V1J,,442.92,
PR7-2,V1J,,447.82,
PR8-1,V1J,,445.79,
PR8-2,V1J,,443.56,
PR1,V1J,,851.46,
PR2,V1J,,852.8,
PR3,V1J,,850.83,
PR4,V1J,,850.84,
PR5,V1J,,850.46,
PR6,V1J,,849.92,
